pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2024-07-04,88.3,-1.44,5.52,"Doval, Camilo",542303,666808,single,hit_into_play,,,,,9,Marcell Ozuna singles on a ground ball to third baseman Matt Chapman.,R,R,R,ATL,SF,X,5,ground_ball,3,2,2024,0.54,-0.19,0.575031614360598,2.180172502714664,,,,0,9,Bot,97.6,164.25,,,,,3.756249701884823,-128.64083747013052,-1.6927823709749426,5.364435830751397,24.45317056852433,-34.21574507607728,3.51,1.74,11,97.9,-11,88.2,2413,6.0,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.53,0.231,0.212,0.9,1,1,0,2,68,6,Slider,2,4,2,4,4,2,2,4,Strategic,Standard,71,0.082,0.369,75.4,7.8,,0.25,-0.369,97.9,-2,-2,0.11,0.11,26,33,27,34,1,3,2,1,1,1,3.09,-0.54,-0.54,18.5,12.957954049255443,-4.321301892825492,30.297233122999305,42.49493240400116,35.2890527570262
SL,2024-07-04,90.2,-1.4,5.53,"Doval, Camilo",542303,666808,,ball,,,,,14,,R,R,R,ATL,SF,B,,,2,2,2024,0.33,0.13,1.550458010183211,0.6251936690128481,,,,0,9,Bot,,,,,,,6.6089069233611255,-131.20219535985285,-6.495124723192692,2.441075933452805,27.8948218344518,-29.48433986903861,3.43943763783321,1.73923235136716,,,,90.1,2562,6.2,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.25,,,,,,,,68,5,Slider,2,4,2,4,4,2,2,4,Strategic,Standard,47,0.022,0.107,,,,,-0.107,,-2,-2,0.088,0.088,26,33,27,34,1,3,2,1,1,1,2.68,-0.33,-0.33,19.4,,,,,
FC,2024-07-04,100.5,-1.54,5.49,"Doval, Camilo",542303,666808,,ball,,,,,14,,R,R,R,ATL,SF,B,,,1,2,2024,-0.16,0.88,1.977571386003084,2.473500369083881,,,,0,9,Bot,,,,,,,10.12239830596987,-146.11166882914367,-5.120585613724509,-4.45124095483035,31.958117530458846,-18.524504919141656,3.35030581468369,1.70146776011837,,,,100.8,2478,6.3,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.17,,,,,,,,68,4,Cutter,2,4,2,4,4,2,2,4,Strategic,Standard,228,0.007,0.04,,,,,-0.04,,-2,-2,0.081,0.081,26,33,27,34,1,3,2,1,1,1,1.37,0.16,0.16,14.0,,,,,
SL,2024-07-04,88.2,-1.41,5.45,"Doval, Camilo",542303,666808,,ball,,,,,14,,R,R,R,ATL,SF,B,,,0,2,2024,0.6,-0.22,1.8818329989276008,0.9055896973730908,,,,0,9,Bot,,,,,,,6.750454114992133,-128.25312351599095,-4.459334925920338,5.116210842353833,27.607011481672316,-33.8835409391127,3.43943763783321,1.72387835966826,,,,87.8,2376,6.2,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.32,,,,,,,,68,3,Slider,2,4,2,4,4,2,2,4,Strategic,Standard,66,0.005,0.023,,,,,-0.023,,-2,-2,0.076,0.076,26,33,27,34,1,3,2,1,1,1,3.17,-0.6,-0.6,16.7,,,,,
SL,2024-07-04,87.3,-1.37,5.55,"Doval, Camilo",542303,666808,,swinging_strike,,,,,14,,R,R,R,ATL,SF,S,,,0,1,2024,0.49,-0.18,0.518536705956314,1.3661759145372518,,,,0,9,Bot,,,,,,,3.534449862531547,-127.13261979461652,-3.5690912919796984,4.620465019752275,24.86831205432844,-33.64819919650931,3.51,1.74,,,,87.0,2358,6.0,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.52,,,,,,,,68,2,Slider,2,4,2,4,4,2,2,4,Strategic,Standard,107,-0.012,-0.054,76.0,8.6,5.562458568,,0.054,,-2,-2,0.088,0.088,26,33,27,34,1,3,2,1,1,1,3.16,-0.49,-0.49,19.6,32.2644480022837,-22.926043043081457,41.60214545961115,41.40397824429499,48.793185869361245
SL,2024-07-04,88.3,-1.52,5.5,"Doval, Camilo",542303,666808,,called_strike,,,,,4,,R,R,R,ATL,SF,S,,,0,0,2024,0.31,-0.01,-0.6148930540714654,2.4447720168252705,,,,0,9,Bot,,,,,,,1.56712127830633,-128.61203867561434,-1.3079099988483174,3.0404891514791723,28.507620848602155,-32.20854849267485,3.46157501006075,1.76858633310297,,,,87.7,2398,6.0,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.49,,,,,,,,68,1,Slider,2,4,2,4,4,2,2,4,Strategic,Standard,113,-0.007,-0.037,,,,,0.037,,-2,-2,0.095,0.095,26,33,27,34,1,3,2,1,1,1,2.94,-0.31,-0.31,18.0,,,,,
ST,2024-07-04,85.1,2.03,5.54,"Bummer, Aaron",624585,607481,strikeout,called_strike,,,,,7,Jorge Soler called out on strikes.,R,R,L,ATL,SF,S,2,,3,2,2024,-1.38,0.07,-0.672664852438881,1.789991417707835,,,,2,9,Top,,,,,,,-3.552504071690618,-123.86821573089252,-2.551212714657784,-13.383658126680409,26.77721351324911,-31.17972968747761,3.52839495928873,1.67894999666554,,,,84.3,2578,6.0,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.53,,0.0,0.0,1,0,0,,67,6,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,303,0.006,-0.325,,,,,0.325,,-2,2,0.089,0.911,30,32,31,32,1,4,2,1,3,1,3.1,-1.38,1.38,15.1,,,,,
FF,2024-07-04,93.5,2.17,5.2,"Bummer, Aaron",624585,607481,,foul,,,,,2,,R,R,L,ATL,SF,S,,,3,1,2024,0.53,0.98,-0.2717129062477804,3.1147067970624285,,,689172,1,9,Top,,,,,,,-7.462088073077484,-135.9152751170862,-1.7598578985238635,8.309083360124587,31.408885500078576,-19.85774607111925,3.66,1.8,31,104.4,-4,93.3,2277,6.3,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.17,,,,,,,,67,5,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,118,0.003,-0.092,77.8,7.8,,,0.092,104.4,-2,2,0.071,0.929,30,32,31,32,1,4,2,1,3,1,1.64,0.53,-0.53,6.5,17.568019270264575,-15.610950092167643,28.816956984880388,34.20294333798799,37.65521679534746
SI,2024-07-04,92.7,2.17,5.09,"Bummer, Aaron",624585,607481,,called_strike,,,,,9,,R,R,L,ATL,SF,S,,,3,0,2024,0.95,0.12,0.6039997857356247,2.158185310674576,,,689172,1,9,Top,,,,,,,-6.075950346309203,-134.89814029762786,-1.9619825926780563,12.920411162174982,29.451280968797654,-30.543307188200533,3.52839495928873,1.72377274194842,,,,92.8,2210,6.4,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.12,,,,,,,,67,4,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,116,0.002,-0.047,,,,,0.047,,-2,2,0.069,0.931,30,32,31,32,1,4,2,1,3,1,2.54,0.95,-0.95,4.1,,,,,
ST,2024-07-04,84.0,2.16,5.37,"Bummer, Aaron",624585,607481,,ball,,,,,13,,R,R,L,ATL,SF,B,,,2,0,2024,-1.44,-0.17,-1.8882529081434487,0.981076974570306,,,689172,1,9,Top,,,,,,,-6.499306702273861,-122.10470340144708,-3.360906614998042,-12.987679620690656,25.95922059851957,-33.320878557877755,3.55066439923452,1.74618068157817,,,,83.5,2612,6.2,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.29,,,,,,,,67,3,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,303,-0.003,0.102,,,,,-0.102,,-2,2,0.072,0.928,30,32,31,32,1,4,2,1,3,1,3.42,-1.44,1.44,11.4,,,,,
