pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2024-07-04,93.5,2.12,6.05,"Sánchez, Cristopher",641355,650911,single,hit_into_play,,,,,8,Cody Bellinger singles on a ground ball to left fielder Brandon Marsh.,R,L,L,CHC,PHI,X,7,ground_ball,1,2,2024,1.5,0.44,0.1817503403253491,2.3696229254010523,,,,0,5,Bot,73.94,111.95,,,,,-8.43403667565125,-135.937953983814,-4.800693808164277,20.43128113679777,27.362932134140152,-25.90390537296042,3.81,1.75,140,93.8,8,95.0,2011,7.0,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.45,0.603,0.562,0.9,1,1,0,4,39,6,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,118,0.017,0.516,69.5,6.7,,0.681,-0.516,93.8,3,3,0.881,0.881,27,28,28,29,3,2,6,1,6,1,2.16,1.5,1.5,31.0,-3.675217276643457,17.735465146662428,38.80732406220166,31.61852769226025,21.386630644139373
CH,2024-07-04,85.7,2.29,5.96,"Sánchez, Cristopher",641355,650911,,foul,,,,,14,,R,L,L,CHC,PHI,S,,,1,2,2024,1.47,0.08,1.4645434324018445,1.442176271466916,,,,0,5,Bot,,,,,,,-5.0052134310116445,-124.79938878511834,-4.708795842027367,16.349243439249193,22.874877665147217,-30.59909083142655,3.81,1.75,5,76.2,-16,87.4,2115,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.35,,,,,,,,39,5,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,115,0.0,0.0,67.9,8.1,,,0.0,88.0,3,3,0.881,0.881,27,28,28,29,3,2,6,1,6,1,2.99,1.47,1.47,29.7,26.73799838114252,-28.656761858956504,44.46216306658105,16.398553260672713,43.70851116063126
SI,2024-07-04,93.8,2.14,6.07,"Sánchez, Cristopher",641355,650911,,foul,,,,,13,,R,L,L,CHC,PHI,S,,,1,2,2024,1.44,0.33,-0.306756020378228,1.440219198581898,,,,0,5,Bot,,,,,,,-9.633855664243612,-136.14489022122564,-7.091827555664066,19.967684541786834,27.39897798456172,-26.682828480237596,3.81,1.75,1,69.0,-54,95.2,1934,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.43,,,,,,,,39,4,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,112,0.0,0.0,59.1,7.7,,,0.0,88.0,3,3,0.881,0.881,27,28,28,29,3,2,6,1,6,1,2.25,1.44,1.44,30.4,9.992466874932498,13.870096089853876,37.60869929981811,38.20398287668067,21.78306493411876
SI,2024-07-04,93.7,2.25,6.06,"Sánchez, Cristopher",641355,650911,,foul,,,,,14,,R,L,L,CHC,PHI,S,,,1,1,2024,1.49,0.48,1.4308826510380102,2.7067135258448074,,,,0,5,Bot,,,,,,,-5.473421732944683,-136.40315119551323,-4.047939374233351,19.767158977407657,28.568970927505603,-25.55303349296664,3.81,1.75,6,74.9,-22,95.1,2050,6.9,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.55,,,,,,,,39,3,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,118,-0.003,-0.056,67.7,6.5,,,0.056,88.0,3,3,0.884,0.884,27,28,28,29,3,2,6,1,6,1,2.11,1.49,1.49,32.3,3.40212649585509,7.373691228491188,38.69012223172301,16.08639991902337,22.920615091447917
SI,2024-07-04,92.5,2.25,6.02,"Sánchez, Cristopher",641355,650911,,called_strike,,,,,13,,R,L,L,CHC,PHI,S,,,1,0,2024,1.47,0.33,-0.7340508027193748,1.5424778095192166,,,,0,5,Bot,,,,,,,-10.959890999963234,-134.30621231353732,-6.445813394084415,20.070743953425108,26.51705702360951,-26.940329363124334,3.71314800058382,1.78542766257149,,,,94.0,2089,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.43,,,,,,,,39,2,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,122,-0.001,-0.049,,,,,0.049,,3,3,0.885,0.885,27,28,28,29,3,2,6,1,6,1,2.32,1.47,1.47,31.2,,,,,
SL,2024-07-04,84.0,2.22,6.11,"Sánchez, Cristopher",641355,650911,,ball,,,,,13,,R,L,L,CHC,PHI,B,,,0,0,2024,-0.1,-0.2,-0.5625413228135842,1.1275394212184149,,,,0,5,Bot,,,,,,,-6.325536540704163,-122.21015367804353,-4.835870386506567,0.1527274509246106,22.155603733226688,-33.48238307734358,3.63181476926888,1.72416090422518,,,,85.2,2127,6.9,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.62,,,,,,,,39,1,Slider,5,2,5,2,2,5,5,2,Standard,Standard,319,0.001,0.038,,,,,-0.038,,3,3,0.884,0.884,27,28,28,29,3,2,6,1,6,1,3.41,-0.1,-0.1,33.8,,,,,
CU,2024-07-04,80.6,-1.22,6.2,"Taillon, Jameson",596117,592791,strikeout,swinging_strike_blocked,,,,,14,Garrett Stubbs strikes out swinging.,R,L,R,CHC,PHI,S,2,,0,2,2024,0.73,-0.97,0.4784825921029624,0.8308435825535785,,,,2,5,Top,,,,,,,2.4020506729320217,-117.35942342812228,-3.478226254138589,6.282055657273611,21.72529571332488,-40.672927475492045,2.98,1.36,,,,81.2,2647,6.6,746857,621512,621550,663538,623520,621020,664023,641355,673548,53.86,,0.0,0.0,1,0,0,,38,3,Curveball,5,2,2,5,2,5,2,5,Infield shade,Standard,39,0.005,-0.157,63.4,8.6,0.978939372,,0.157,,3,-3,0.879,0.121,32,31,33,31,2,1,6,2,5,3,4.46,-0.73,0.73,48.5,22.199675115164663,-40.70480734740707,30.07659157320253,30.41921700318231,42.63615198281206
FF,2024-07-04,92.8,-1.24,5.99,"Taillon, Jameson",596117,592791,,called_strike,,,,,12,,R,L,R,CHC,PHI,S,,,0,1,2024,-0.38,1.15,0.898953997354103,2.547209643795176,,,,2,5,Top,,,,,,,6.372370786247935,-135.1081452672036,-5.682758885988196,-5.859980560546035,24.83836888126305,-16.989239782666935,2.9259957093176,1.38315033203731,,,,94.5,2237,6.9,746857,621512,621550,663538,623520,621020,664023,641355,673548,53.59,,,,,,,,38,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,211,0.003,-0.058,,,,,0.058,,3,-3,0.876,0.124,32,31,33,31,2,1,6,2,5,3,1.46,0.38,-0.38,41.7,,,,,
CU,2024-07-04,79.8,-1.18,6.18,"Taillon, Jameson",596117,592791,,called_strike,,,,,5,,R,L,R,CHC,PHI,S,,,0,0,2024,0.76,-0.72,-0.0830101346852659,2.159189175473511,,,,2,5,Top,,,,,,,0.9814191300040292,-116.38375116105178,-0.8366305063614622,6.822945227999667,19.831785567754945,-38.82838060463028,2.82934299158787,1.42544739965685,,,,80.7,2646,6.6,746857,621512,621550,663538,623520,621020,664023,641355,673548,53.92,,,,,,,,38,1,Curveball,5,2,2,5,2,5,2,5,Standard,Standard,44,0.001,-0.041,,,,,0.041,,3,-3,0.875,0.125,32,31,33,31,2,1,6,2,5,3,4.26,-0.76,0.76,43.3,,,,,
ST,2024-07-04,79.9,-1.31,6.07,"Taillon, Jameson",679032,592791,field_out,hit_into_play,,,,,5,"Johan Rojas grounds out, shortstop Dansby Swanson to first baseman Patrick Wisdom.",R,R,R,CHC,PHI,X,6,ground_ball,0,1,2024,1.31,-0.11,-0.12267912765951,2.6041670359973925,,,,1,5,Top,117.2,144.28,,,,,0.1391448338662828,-116.49947641153275,-0.7596747436261674,11.97361967637833,21.23071123257784,-33.23958465753692,3.41,1.64,78,100.6,2,80.4,2621,6.5,746857,621512,621550,663538,623520,621020,664023,641355,673548,54.01,0.524,0.513,0.0,1,0,0,4,37,2,Sweeper,5,2,2,5,2,5,2,5,Standard,Standard,63,0.014,-0.219,72.9,6.8,,0.627,0.219,100.6,3,-3,0.861,0.139,32,23,33,24,2,1,6,1,5,1,3.66,-1.31,-1.31,47.5,5.123172619470963,3.5509921636583144,15.025340057805884,33.83730774809009,31.62858541109972
ST,2024-07-04,80.7,-1.36,6.1,"Taillon, Jameson",679032,592791,,called_strike,,,,,6,,R,R,R,CHC,PHI,S,,,0,0,2024,1.39,0.01,0.5094011330852714,2.240768235334211,,,,1,5,Top,,,,,,,1.5175305399070484,-117.52782604719263,-1.9651847059409928,12.571697149712907,22.45688801733127,-31.899574432362893,3.22593288017025,1.53258149787868,,,,81.3,2643,6.6,746857,621512,621550,663538,623520,621020,664023,641355,673548,53.86,,,,,,,,37,1,Sweeper,5,2,2,5,2,5,2,5,Standard,Standard,73,0.002,-0.037,,,,,0.037,,3,-3,0.859,0.141,32,23,33,24,2,1,6,1,5,1,3.48,-1.39,-1.39,47.1,,,,,
FC,2024-07-04,87.8,-1.34,6.04,"Taillon, Jameson",621311,592791,field_out,hit_into_play,,,,,9,"David Dahl grounds out, first baseman Patrick Wisdom to pitcher Jameson Taillon.",R,L,R,CHC,PHI,X,3,ground_ball,1,0,2024,0.25,0.81,0.3827990150824059,2.063460456327712,,,,0,5,Top,154.42,168.71,,,,,3.660137678087145,-127.8380354119995,-5.268119890087634,2.1233565626841107,23.956295730669204,-22.45855134731772,3.36,1.56,35,94.7,-1,88.7,2463,6.6,746857,621512,621550,663538,623520,621020,664023,641355,673548,53.89,0.325,0.322,0.0,1,0,0,2,36,2,Cutter,5,2,2,5,2,5,2,5,Infield shade,Standard,181,0.027,-0.292,69.9,7.3,,0.366,0.292,94.7,3,-3,0.832,0.168,32,30,33,30,2,1,6,2,5,2,2.12,-0.25,0.25,44.7,20.06091892477233,-3.63583727469232,38.10901086676733,33.4427581047219,33.11384328355659
FF,2024-07-04,92.9,-1.3,6.04,"Taillon, Jameson",621311,592791,,ball,,,,,11,,R,L,R,CHC,PHI,B,,,0,0,2024,-0.66,1.4,-1.316218137861139,3.373936103609203,,,,0,5,Top,,,,,,,1.4136888132827,-135.3204536755411,-4.188207893891958,-8.421750293840224,27.973893502706744,-14.250489445541762,3.31404390503783,1.55999970110638,,,,94.0,2347,6.8,746857,621512,621550,663538,623520,621020,664023,641355,673548,53.75,,,,,,,,36,1,4-Seam Fastball,5,2,2,5,2,5,2,5,Infield shade,Standard,206,-0.004,0.038,,,,,-0.038,,3,-3,0.836,0.164,32,30,33,30,2,1,6,2,5,2,1.23,0.66,-0.66,42.2,,,,,
CH,2024-07-04,84.1,2.24,6.06,"Sánchez, Cristopher",621550,650911,field_out,hit_into_play,,,,,14,"Patrick Wisdom grounds out softly, catcher Garrett Stubbs to first baseman Kody Clemens.",R,R,L,CHC,PHI,X,2,ground_ball,1,2,2024,1.51,-0.15,1.2178977861491782,1.8270078608444225,,,663538,2,4,Bot,128.2,200.95,,,,,-5.482655613864651,-122.45293092931044,-3.1869243624164785,16.294697465791486,23.734055233124668,-33.240134370413735,3.36,1.56,1,54.4,-55,85.7,1987,7.3,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.23,0.226,0.291,0.0,1,0,0,1,35,4,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,105,-0.008,-0.197,69.1,8.3,,0.228,0.197,88.0,3,3,0.844,0.844,27,32,28,33,3,2,6,1,6,2,3.36,1.51,-1.51,32.4,13.112150700705463,-7.041387392421913,23.7777027578698,53.7504459835878,28.972720179591164
CH,2024-07-04,85.4,2.18,6.11,"Sánchez, Cristopher",621550,650911,,ball,,,,,14,,R,R,L,CHC,PHI,B,,,0,2,2024,1.49,-0.05,0.5242787000377631,1.1049657862082838,,,663538,2,4,Bot,,,,,,,-7.011040003032376,-124.20698613481947,-5.493317256799827,16.808158881295697,23.254994000650065,-31.853959516066052,3.25446363897989,1.51581854131788,,,,86.8,2008,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.42,,,,,,,,35,3,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,110,0.001,0.027,,,,,-0.027,,3,3,0.843,0.843,27,32,28,33,3,2,6,1,6,2,3.16,1.49,-1.49,30.3,,,,,
CH,2024-07-04,83.7,2.21,6.0,"Sánchez, Cristopher",621550,650911,,swinging_strike,,,,,14,,R,R,L,CHC,PHI,S,,,0,1,2024,1.39,-0.14,0.5668230677188622,1.393917797571488,,,663538,2,4,Bot,,,,,,,-6.684309740554689,-121.79751755294376,-3.9990664091637793,15.13387238750634,23.279868239755,-33.023162367225964,3.36,1.56,,,,85.5,2046,7.4,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.1,,,,,,,,35,2,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,106,-0.002,-0.054,70.7,9.1,2.5290072,,0.054,,3,3,0.845,0.845,27,32,28,33,3,2,6,1,6,2,3.39,1.39,-1.39,29.7,21.389902501192324,-29.890928484372417,30.954787318041337,47.47647713324415,43.989574079438896
CH,2024-07-04,84.4,2.26,5.99,"Sánchez, Cristopher",621550,650911,,swinging_strike,,,,,14,,R,R,L,CHC,PHI,S,,,0,0,2024,1.25,0.05,0.1788636716109268,1.0168753848931176,,,663538,2,4,Bot,,,,,,,-7.428681071959372,-122.59940461787004,-5.368330691534979,14.027759143252304,23.80023703616195,-30.79483399844508,3.36,1.56,,,,85.6,2115,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.37,,,,,,,,35,1,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,112,-0.002,-0.047,71.3,9.4,8.655784968,,0.047,,3,3,0.847,0.847,27,32,28,33,3,2,6,1,6,2,3.16,1.25,-1.25,29.5,29.233792556182003,-42.6346354754825,33.90164883104039,41.80358950451921,54.66412053066718
SL,2024-07-04,84.5,2.08,6.09,"Sánchez, Cristopher",663538,650911,single,hit_into_play,,,,,3,Nico Hoerner singles on a ground ball to center fielder Johan Rojas. David Bote scores.,R,R,L,CHC,PHI,X,8,ground_ball,2,2,2024,-0.17,-0.24,0.3462476056444651,2.8514116047298024,,623520,,2,4,Bot,128.7,90.4,,,,,-3.7346170493661233,-123.01014921671906,-0.6795146029487147,-0.9803548211602514,25.21280418534712,-34.71232882910897,3.27,1.55,9,94.4,-18,85.5,2012,7.0,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.52,0.14,0.161,0.9,1,1,0,2,34,5,Slider,4,2,4,2,2,5,5,2,Standard,Standard,297,0.075,0.723,68.0,6.3,,0.144,-0.723,94.4,2,2,0.772,0.772,27,27,28,27,3,2,6,1,6,1,3.44,-0.17,0.17,32.0,-2.333350815033153,10.153635698040194,29.1270041420414,39.40618447402145,22.269211975803827
SL,2024-07-04,86.6,2.0,6.16,"Sánchez, Cristopher",663538,650911,,blocked_ball,,,,,13,,R,R,L,CHC,PHI,B,,,1,2,2024,-0.25,-0.11,-0.571737575401903,0.7759100189822021,,623520,,2,4,Bot,,,,,,,-5.730238638124607,-126.0607604611559,-6.578184120496821,-1.5474513109874306,23.78860263070594,-32.23455027881411,3.26097063422559,1.54092781694329,,,,88.3,2056,7.2,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.3,,,,,,,,34,4,Slider,4,2,4,2,2,4,4,2,Standard,Standard,334,0.004,0.037,,,,,-0.037,,2,2,0.768,0.768,27,27,28,27,3,2,6,1,6,1,3.12,-0.25,0.25,33.3,,,,,
SI,2024-07-04,93.6,2.07,6.12,"Sánchez, Cristopher",663538,650911,,foul,,,,,6,,R,R,L,CHC,PHI,S,,,1,1,2024,1.28,0.63,0.3215019348694028,2.4766823422880595,,623520,,2,4,Bot,,,,,,,-7.432918993933499,-136.07156582004512,-5.112492414006185,17.513689987653997,29.13393754915377,-23.434412492996533,3.27,1.55,219,74.7,42,94.8,2029,7.0,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.49,,,,,,,,34,3,Sinker,4,2,4,2,2,4,4,2,Standard,Standard,119,-0.007,-0.06,66.5,6.4,,,0.06,88.0,2,2,0.775,0.775,27,27,28,27,3,2,6,1,6,1,1.97,1.28,-1.28,32.2,-10.89262801957384,14.8640443953912,36.77880817905446,39.52850319294319,18.952054801829338
SL,2024-07-04,85.1,1.99,6.1,"Sánchez, Cristopher",663538,650911,,called_strike,,,,,5,,R,R,L,CHC,PHI,S,,,1,0,2024,-0.13,-0.23,0.0552100290520982,2.3581192692638298,,623520,,2,4,Bot,,,,,,,-4.347210145352103,-123.875290066168,-2.047748688553892,-0.4745244622222001,23.898893869197725,-34.34837009518328,3.36300404328818,1.61227513189661,,,,86.4,1964,7.0,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.5,,,,,,,,34,2,Slider,4,2,4,2,2,4,4,2,Standard,Standard,311,-0.001,-0.043,,,,,0.043,,2,2,0.776,0.776,27,27,28,27,3,2,6,1,6,1,3.37,-0.13,0.13,32.9,,,,,
SL,2024-07-04,84.4,2.0,6.01,"Sánchez, Cristopher",663538,650911,,blocked_ball,,,,,14,,R,R,L,CHC,PHI,B,,,0,0,2024,-0.19,0.0,0.5550389396751731,1.1960021258679987,,623520,,2,4,Bot,,,,,,,-3.027425920421346,-122.89580501860868,-4.946970218932536,-1.384755225272339,22.32087013900825,-31.465944586468183,3.3159775157022,1.56533326121996,,,,85.9,1875,7.0,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.49,,,,,,,,34,1,Slider,4,2,4,2,2,4,4,2,Standard,Standard,302,0.0,0.014,,,,,-0.014,,2,2,0.776,0.776,27,27,28,27,3,2,6,1,6,1,3.17,-0.19,0.19,35.2,,,,,
CH,2024-07-04,84.6,2.26,6.03,"Sánchez, Cristopher",621512,650911,field_out,hit_into_play,,,,,14,"Tomás Nido grounds out, shortstop Trea Turner to first baseman Kody Clemens. Dansby Swanson scores.",R,R,L,CHC,PHI,X,6,ground_ball,0,2,2024,1.38,0.06,0.4665238573583934,1.1164140300571588,621020,623520,,1,4,Bot,98.26,147.06,,,,,-7.056300835263855,-123.0898243117045,-5.333154525765751,15.396736668865442,22.547280716732303,-30.79169417953717,3.32,1.55,107,66.1,13,86.2,1897,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.38,0.261,0.234,0.0,1,0,0,2,33,3,Changeup,3,2,3,2,2,4,4,2,Standard,Standard,107,0.039,-0.046,67.1,9.1,,0.269,0.046,88.0,1,1,0.737,0.737,27,30,28,30,2,1,6,2,6,1,3.11,1.38,-1.38,28.5,22.83437812463537,-5.234829130422111,38.60335087351214,47.95491141602047,34.12423668731557
CH,2024-07-04,84.5,2.19,6.01,"Sánchez, Cristopher",621512,650911,,swinging_strike,,,,,14,,R,R,L,CHC,PHI,S,,,0,1,2024,1.43,0.21,0.5178845434900041,0.971062810336031,621020,623520,,1,4,Bot,,,,,,,-6.892948811899632,-122.91311050078964,-6.007830574404935,15.802946405448068,20.562627897955032,-29.129594597823942,3.32,1.55,,,,86.8,1932,7.4,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.07,,,,,,,,33,2,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,106,-0.018,-0.087,64.8,9.0,1.513806852,,0.087,,1,1,0.755,0.755,27,30,28,30,2,1,6,2,6,1,2.94,1.43,-1.43,29.4,22.364819218354505,-9.15553147978275,36.92280782275415,48.81705730054159,35.10163807939756
CH,2024-07-04,85.6,2.13,5.94,"Sánchez, Cristopher",621512,650911,,foul,,,,,13,,R,R,L,CHC,PHI,S,,,0,0,2024,1.37,-0.06,-0.3058363840592208,1.32520272569425,621020,623520,,1,4,Bot,,,,,,,-8.6483924517854,-124.48527547428108,-4.623621651865113,15.902789894029636,21.82369109907457,-32.11262079108526,3.32,1.55,2,70.4,-39,87.3,1811,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.39,,,,,,,,33,1,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,105,-0.011,-0.054,74.2,8.1,,,0.054,88.0,1,1,0.766,0.766,27,30,28,30,2,1,6,2,6,1,3.14,1.37,-1.37,31.0,12.897421832227872,2.869086497531638,42.4436739841297,38.95577446549033,28.857172676531825
SI,2024-07-04,93.5,2.11,6.16,"Sánchez, Cristopher",623520,650911,double,hit_into_play,,,,,8,David Bote doubles (2) on a line drive to left fielder Brandon Marsh. Dansby Swanson to 3rd.,R,R,L,CHC,PHI,X,7,line_drive,0,0,2024,1.42,0.64,0.0666183869028,2.024960295928934,,,621020,1,4,Bot,43.46,106.81,,,,,-8.523442835146282,-135.9139368190004,-6.451975956379,19.456166646987224,27.093441554589432,-23.03876707502487,3.37,1.58,194,90.7,13,95.2,2087,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.35,0.947,0.917,1.25,1,1,1,4,32,1,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,118,0.079,0.811,79.0,8.0,,1.125,-0.811,90.7,1,1,0.687,0.687,27,31,28,31,2,1,6,1,6,2,1.95,1.42,-1.42,37.4,16.76309032793814,-19.226442732398183,30.43247982898488,40.40246183318985,34.04316398038206
SI,2024-07-04,92.4,1.99,6.09,"Sánchez, Cristopher",621020,650911,walk,ball,,,,,13,Dansby Swanson walks.,R,R,L,CHC,PHI,B,,,3,1,2024,1.15,0.54,-0.3929311150663541,1.3682052479661753,,,,1,4,Bot,,,,,,,-8.673233529173842,-134.19929216625107,-7.497365161141156,15.649410783929802,26.364279063937783,-24.275078110093425,3.56280766143995,1.66898570120632,,,,93.9,1962,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.43,,0.689131,0.7,1,0,0,,31,5,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,120,0.014,0.256,,,,,-0.256,,1,1,0.673,0.673,27,30,28,30,2,1,6,1,6,1,2.12,1.15,-1.15,33.8,,,,,
CH,2024-07-04,83.3,2.17,6.01,"Sánchez, Cristopher",621020,650911,,ball,,,,,12,,R,R,L,CHC,PHI,B,,,2,1,2024,1.28,-0.15,1.659567695532159,2.583208715054222,,,,1,4,Bot,,,,,,,-3.742553952847761,-121.44612382500418,-1.2199569584281529,13.41453487961885,21.44578403802858,-33.63073931746152,3.48238194229209,1.60424295346688,,,,84.8,1764,6.9,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.58,,,,,,,,31,4,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,106,0.007,0.122,,,,,-0.122,,1,1,0.666,0.666,27,30,28,30,2,1,6,1,6,1,3.39,1.28,-1.28,29.0,,,,,
CH,2024-07-04,83.7,2.1,5.99,"Sánchez, Cristopher",621020,650911,,ball,,,,,13,,R,R,L,CHC,PHI,B,,,1,1,2024,1.27,0.01,-1.043071395752794,1.4345418946411734,,,,1,4,Bot,,,,,,,-9.882629856032423,-121.5815329431654,-4.196562409385896,14.433109139571554,21.92047404416894,-31.445172526058155,3.51759607371737,1.63925954574278,,,,85.0,1846,7.0,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.47,,,,,,,,31,3,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,103,0.003,0.059,,,,,-0.059,,1,1,0.663,0.663,27,30,28,30,2,1,6,1,6,1,3.23,1.27,-1.27,30.7,,,,,
SI,2024-07-04,94.4,2.12,6.08,"Sánchez, Cristopher",621020,650911,,ball,,,,,14,,R,R,L,CHC,PHI,B,,,0,1,2024,1.33,0.35,1.1026624231425155,2.216690086453275,,,,1,4,Bot,,,,,,,-5.674324928060168,-137.31785472648338,-5.23354085624095,18.04526952375708,29.502312509257244,-26.75216888034622,3.56238149283897,1.66875047490323,,,,95.7,2016,7.0,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.5,,,,,,,,31,2,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,121,0.001,0.024,,,,,-0.024,,1,1,0.662,0.662,27,30,28,30,2,1,6,1,6,1,2.2,1.33,-1.33,33.2,,,,,
SL,2024-07-04,84.4,2.08,6.08,"Sánchez, Cristopher",621020,650911,,swinging_strike,,,,,8,,R,R,L,CHC,PHI,S,,,0,0,2024,-0.05,-0.22,0.117312062555244,1.691183807776262,,,,1,4,Bot,,,,,,,-4.520234688216769,-122.92110928126225,-3.4683625646178617,0.338430682998258,23.8971903199232,-33.93974365755148,3.61,1.67,,,,85.4,1871,6.9,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.64,,,,,,,,31,1,Slider,3,2,3,2,2,3,3,2,Standard,Standard,303,-0.002,-0.037,76.0,8.6,0.690860484,,0.037,,1,1,0.664,0.664,27,30,28,30,2,1,6,1,6,1,3.41,-0.05,0.05,32.5,25.9558136889323,-13.878250905752244,38.1366934661391,38.89058437972204,41.95687345440767
SI,2024-07-04,94.7,2.11,6.15,"Sánchez, Cristopher",666624,650911,field_out,hit_into_play,,,,,5,Christopher Morel lines out sharply to center fielder Johan Rojas.,R,R,L,CHC,PHI,X,8,line_drive,0,0,2024,1.35,0.56,0.202727286659607,2.6824971378512936,,,,0,4,Bot,144.73,51.91,,,,,-8.093585967156782,-137.76770317445755,-4.734598721166317,18.921195672970825,28.26939238909212,-24.15996297705548,3.68,1.69,367,108.9,18,96.2,1991,7.0,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.53,0.629,1.0173333333333334,0.0,1,0,0,6,30,1,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,116,-0.021,-0.254,78.0,7.6,,1.862,0.254,108.9,1,1,0.685,0.685,27,25,28,25,2,1,6,1,6,1,1.96,1.35,-1.35,31.8,11.60941963741885,9.382536600561222,23.95499554858645,42.3294171373462,25.113179609129464
SI,2024-07-04,93.0,2.05,6.16,"Sánchez, Cristopher",664023,650911,home_run,hit_into_play,,,,,8,Ian Happ homers (12) on a line drive to left center field. Cody Bellinger scores. Seiya Suzuki scores.,R,R,L,CHC,PHI,X,,line_drive,3,1,2024,1.32,0.3,-0.1654992968340118,2.110512515963969,,641355,673548,0,4,Bot,54.16,62.44,,,,,-8.699896384712707,-135.15758509937072,-5.338814449442896,18.00620512498543,28.504340770372096,-27.53535922751312,3.52,1.61,381,112.0,19,94.5,2003,7.1,746857,596117,665019,681082,664761,607208,669016,679032,621311,53.36,0.867,1.561090909090909,2.0,1,0,3,6,29,5,Sinker,0,2,0,2,2,3,3,2,Standard,Standard,116,0.213,0.789,76.9,7.4,,2.962,-0.789,112.0,-2,-2,0.472,0.472,27,29,28,30,2,1,6,1,6,1,2.34,1.32,-1.32,32.9,12.56381501122778,-3.875382495183017,32.67979946345737,38.975294391603725,36.5235569284997
